rim,tire,rim_mm,tire_mm,diameter_mm,circumference_mm
20inchSchwinn,56mm,419,56.00,531.00,1668.19
20inchSchwinn,1.00inch,419,25.40,469.80,1475.92
20inchSchwinn,1.25inch,419,31.75,482.50,1515.82
20inchSchwinn,1.35inch,419,34.29,487.58,1531.78
20inchSchwinn,1.40inch,419,35.56,490.12,1539.76
20inchSchwinn,1.50inch,419,38.10,495.20,1555.72
20inchSchwinn,1.75inch,419,44.45,507.90,1595.61
20inchSchwinn,1.90inch,419,48.26,515.52,1619.55
20inchSchwinn,1.95inch,419,49.50,518.00,1627.34
20inchSchwinn,2.00inch,419,50.80,520.60,1635.51
20inchSchwinn,2.10inch,419,53.34,525.68,1651.47
20inchSchwinn,2.125inch,419,54.00,527.00,1655.62
20inchSchwinn,2.20inch,419,55.88,530.76,1667.43
20inchSchwinn,2.25inch,419,57.15,533.30,1675.41
20inchSchwinn,2.30inch,419,58.42,535.84,1683.39
20inchSchwinn,2.35inch,419,59.69,538.38,1691.37
20inchSchwinn,2.40inch,419,60.96,540.92,1699.35
20inchSchwinn,2.50inch,419,63.50,546.00,1715.31
20inchSchwinn,2.60inch,419,66.04,551.08,1731.27
20inchSchwinn,2.75inch,419,69.85,558.70,1755.21
20inchSchwinn,2.80inch,419,71.12,561.24,1763.19
20inchSchwinn,3.00inch,419,76.20,571.40,1795.11
20inchSchwinn,3.80inch,419,96.52,612.04,1922.78
20inchSchwinn,4.00inch,419,101.60,622.20,1954.70
20inchSchwinn,4.25inch,419,107.95,634.90,1994.60
20inchSchwinn,4.50inch,419,114.30,647.60,2034.50
20inchSchwinn,4.60inch,419,116.84,652.68,2050.45
20inchSchwinn,4.70inch,419,119.38,657.76,2066.41
20inchSchwinn,4.80inch,419,121.92,662.84,2082.37
20inchSchwinn,4.90inch,419,124.46,667.92,2098.33
20inchBMX/Recumb,20mm,406,20.00,446.00,1401.15
20inchBMX/Recumb,23mm,406,23.00,452.00,1420.00
20inchBMX/Recumb,25mm,406,25.00,456.00,1432.57
20inchBMX/Recumb,26mm,406,26.00,458.00,1438.85
20inchBMX/Recumb,27mm,406,27.00,460.00,1445.13
20inchBMX/Recumb,28mm,406,28.00,462.00,1451.42
20inchBMX/Recumb,30mm,406,30.00,466.00,1463.98
20inchBMX/Recumb,32mm,406,32.00,470.00,1476.55
20inchBMX/Recumb,35mm,406,35.00,476.00,1495.40
20inchBMX/Recumb,37mm,406,37.00,480.00,1507.96
20inchBMX/Recumb,38mm,406,38.00,482.00,1514.25
20inchBMX/Recumb,40mm,406,40.00,486.00,1526.81
20inchBMX/Recumb,42mm,406,42.00,490.00,1539.38
20inchBMX/Recumb,44mm,406,44.00,494.00,1551.95
20inchBMX/Recumb,45mm,406,45.00,496.00,1558.23
20inchBMX/Recumb,50mm,406,50.00,506.00,1589.65
20inchBMX/Recumb,56mm,406,56.00,518.00,1627.34
20inchBMX/Recumb,1.00inch,406,25.40,456.80,1435.08
20inchBMX/Recumb,1.25inch,406,31.75,469.50,1474.98
20inchBMX/Recumb,1.35inch,406,34.29,474.58,1490.94
20inchBMX/Recumb,1.40inch,406,35.56,477.12,1498.92
20inchBMX/Recumb,1.50inch,406,38.10,482.20,1514.88
20inchBMX/Recumb,1.75inch,406,44.45,494.90,1554.77
20inchBMX/Recumb,1.90inch,406,48.26,502.52,1578.71
20inchBMX/Recumb,1.95inch,406,49.50,505.00,1586.50
20inchBMX/Recumb,2.00inch,406,50.80,507.60,1594.67
20inchBMX/Recumb,2.10inch,406,53.34,512.68,1610.63
20inchBMX/Recumb,2.125inch,406,54.00,514.00,1614.78
20inchBMX/Recumb,2.20inch,406,55.88,517.76,1626.59
20inchBMX/Recumb,2.25inch,406,57.15,520.30,1634.57
20inchBMX/Recumb,2.30inch,406,58.42,522.84,1642.55
20inchBMX/Recumb,2.35inch,406,59.69,525.38,1650.53
20inchBMX/Recumb,2.40inch,406,60.96,527.92,1658.51
20inchBMX/Recumb,2.50inch,406,63.50,533.00,1674.47
20inchBMX/Recumb,2.60inch,406,66.04,538.08,1690.43
20inchBMX/Recumb,2.75inch,406,69.85,545.70,1714.37
20inchBMX/Recumb,2.80inch,406,71.12,548.24,1722.35
20inchBMX/Recumb,3.00inch,406,76.20,558.40,1754.27
20inchBMX/Recumb,3.80inch,406,96.52,599.04,1881.94
20inchBMX/Recumb,4.00inch,406,101.60,609.20,1913.86
20inchBMX/Recumb,4.25inch,406,107.95,621.90,1953.76
20inchBMX/Recumb,4.50inch,406,114.30,634.60,1993.65
20inchBMX/Recumb,4.60inch,406,116.84,639.68,2009.61
20inchBMX/Recumb,4.70inch,406,119.38,644.76,2025.57
20inchBMX/Recumb,4.80inch,406,121.92,649.84,2041.53
20inchBMX/Recumb,4.90inch,406,124.46,654.92,2057.49
17inch,20mm,369,20.00,409.00,1284.91
17inch,23mm,369,23.00,415.00,1303.76
17inch,25mm,369,25.00,419.00,1316.33
17inch,26mm,369,26.00,421.00,1322.61
17inch,27mm,369,27.00,423.00,1328.89
17inch,28mm,369,28.00,425.00,1335.18
17inch,30mm,369,30.00,429.00,1347.74
17inch,32mm,369,32.00,433.00,1360.31
17inch,35mm,369,35.00,439.00,1379.16
17inch,37mm,369,37.00,443.00,1391.73
17inch,38mm,369,38.00,445.00,1398.01
17inch,40mm,369,40.00,449.00,1410.58
17inch,42mm,369,42.00,453.00,1423.14
17inch,44mm,369,44.00,457.00,1435.71
17inch,45mm,369,45.00,459.00,1441.99
17inch,50mm,369,50.00,469.00,1473.41
17inch,56mm,369,56.00,481.00,1511.11
17inch,1.00inch,369,25.40,419.80,1318.84
17inch,1.25inch,369,31.75,432.50,1358.74
17inch,1.35inch,369,34.29,437.58,1374.70
17inch,1.40inch,369,35.56,440.12,1382.68
17inch,1.50inch,369,38.10,445.20,1398.64
17inch,1.75inch,369,44.45,457.90,1438.54
17inch,1.90inch,369,48.26,465.52,1462.47
17inch,1.95inch,369,49.50,468.00,1470.27
17inch,2.00inch,369,50.80,470.60,1478.43
17inch,2.10inch,369,53.34,475.68,1494.39
17inch,2.125inch,369,54.00,477.00,1498.54
17inch,2.20inch,369,55.88,480.76,1510.35
17inch,2.25inch,369,57.15,483.30,1518.33
17inch,2.30inch,369,58.42,485.84,1526.31
17inch,2.35inch,369,59.69,488.38,1534.29
17inch,2.40inch,369,60.96,490.92,1542.27
17inch,2.50inch,369,63.50,496.00,1558.23
17inch,2.60inch,369,66.04,501.08,1574.19
17inch,2.75inch,369,69.85,508.70,1598.13
17inch,2.80inch,369,71.12,511.24,1606.11
17inch,3.00inch,369,76.20,521.40,1638.03
17inch,3.80inch,369,96.52,562.04,1765.70
17inch,4.00inch,369,101.60,572.20,1797.62
17inch,4.25inch,369,107.95,584.90,1837.52
17inch,4.50inch,369,114.30,597.60,1877.42
17inch,4.60inch,369,116.84,602.68,1893.38
17inch,4.70inch,369,119.38,607.76,1909.33
17inch,4.80inch,369,121.92,612.84,1925.29
17inch,4.90inch,369,124.46,617.92,1941.25
16inchBrompton,20mm,349,20.00,389.00,1222.08
16inchBrompton,23mm,349,23.00,395.00,1240.93
16inchBrompton,25mm,349,25.00,399.00,1253.50
16inchBrompton,26mm,349,26.00,401.00,1259.78
16inchBrompton,27mm,349,27.00,403.00,1266.06
16inchBrompton,28mm,349,28.00,405.00,1272.35
16inchBrompton,30mm,349,30.00,409.00,1284.91
16inchBrompton,32mm,349,32.00,413.00,1297.48
16inchBrompton,35mm,349,35.00,419.00,1316.33
16inchBrompton,37mm,349,37.00,423.00,1328.89
16inchBrompton,38mm,349,38.00,425.00,1335.18
16inchBrompton,40mm,349,40.00,429.00,1347.74
16inchBrompton,42mm,349,42.00,433.00,1360.31
16inchBrompton,44mm,349,44.00,437.00,1372.88
16inchBrompton,45mm,349,45.00,439.00,1379.16
16inchBrompton,50mm,349,50.00,449.00,1410.58
16inchBrompton,56mm,349,56.00,461.00,1448.27
16inchBrompton,1.00inch,349,25.40,399.80,1256.01
16inchBrompton,1.25inch,349,31.75,412.50,1295.91
16inchBrompton,1.35inch,349,34.29,417.58,1311.87
16inchBrompton,1.40inch,349,35.56,420.12,1319.85
16inchBrompton,1.50inch,349,38.10,425.20,1335.81
16inchBrompton,1.75inch,349,44.45,437.90,1375.70
16inchBrompton,1.90inch,349,48.26,445.52,1399.64
16inchBrompton,1.95inch,349,49.50,448.00,1407.43
16inchBrompton,2.00inch,349,50.80,450.60,1415.60
16inchBrompton,2.10inch,349,53.34,455.68,1431.56
16inchBrompton,2.125inch,349,54.00,457.00,1435.71
16inchBrompton,2.20inch,349,55.88,460.76,1447.52
16inchBrompton,2.25inch,349,57.15,463.30,1455.50
16inchBrompton,2.30inch,349,58.42,465.84,1463.48
16inchBrompton,2.35inch,349,59.69,468.38,1471.46
16inchBrompton,2.40inch,349,60.96,470.92,1479.44
16inchBrompton,2.50inch,349,63.50,476.00,1495.40
16inchBrompton,2.60inch,349,66.04,481.08,1511.36
16inchBrompton,2.75inch,349,69.85,488.70,1535.30
16inchBrompton,2.80inch,349,71.12,491.24,1543.28
16inchBrompton,3.00inch,349,76.20,501.40,1575.19
16inchBrompton,3.80inch,349,96.52,542.04,1702.87
16inchBrompton,4.00inch,349,101.60,552.20,1734.79
16inchBrompton,4.25inch,349,107.95,564.90,1774.69
16inchBrompton,4.50inch,349,114.30,577.60,1814.58
16inchBrompton,4.60inch,349,116.84,582.68,1830.54
16inchBrompton,4.70inch,349,119.38,587.76,1846.50
16inchBrompton,4.80inch,349,121.92,592.84,1862.46
16inchBrompton,4.90inch,349,124.46,597.92,1878.42
